URL,Name,Price(rs),Rating,Reviews,Description,ASIN,Manufecturer
https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-3,        American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)       ,"1,199",4.1 out of 5 stars,"52,288 ratings","    Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No     Outer Material: Polyester, Color: Black     Water Resistance: Water resistant , not Waterproof     Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters     Number of Wheels: 0, Number of compartments: 3     Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of     Mesh pockets on both sides to accommodate your sipper or bottle and umbrella     Mesh Padding on back & shoulder strap to provide comfort & better back support    ", B07CJCGM1M ,RetailEZ Pvt Ltd
https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-4,        Skybags Brat Black 46 Cms Casual Backpack       ,659,4.1 out of 5 stars,"3,770 ratings","    Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    ",,RetailEZ Pvt Ltd
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-5,        Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)       ,565,4.3 out of 5 stars,"9,794 ratings","    30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.     Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.     Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.     Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks     1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty     Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    ", B084JGJ8PF ,Appario Retail Private Ltd
https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-6,        Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley       ,949,3.9 out of 5 stars,"6,297 ratings","    The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.     Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.     Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.     External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.     Manufacturer warranty - 2 years    ",,RetailEZ Pvt Ltd
https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-7,        ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)       ,499,3.8 out of 5 stars,566 ratings,    Material: Water Resistant Light-Weight Polyester<br>     Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>     Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>     Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>     Closure Type: Zipper<br>    ,,Appario Retail Private Ltd
https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-8,        Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue)       ,689,3.9 out of 5 stars,"15,248 ratings","    SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort     COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women     PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm     BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.     OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    ",,Half_Moon
https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-9,        Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black       ,214,3.7 out of 5 stars,"6,056 ratings","    Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.     Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)     Number of compartments: 1; Compatible Laptop Size : 15.4     Warranty Type: Manufacturer; 1 Year from the date of purchase     Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper    ",,RetailEZ Pvt Ltd
https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-10,        SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)       ,299,4.0 out of 5 stars,"18,009 ratings","    Outer Material: Polyester, Color: Sea Blue     Not water resistant. With Rain Cover:No     Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)     Number of compartments: 2; Laptop Compatibility: No     Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket     Drawstring, 2 Compartments, Compact Size    ",,RetailEZ Pvt Ltd
https://www.amazon.in//Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-13,        Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets       ,699,3.7 out of 5 stars,115 ratings,"    MULTI-FUNCTION COMPARTMENT: HALF MOON backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more. <br>     DURABLE MATERIAL: Superior quality durable ECO Friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities <br>     COMFORTABLE DESIGN: Our backpack's ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the backpack comfortable to wear even when loaded with all your gear; Compact:Backpack has a roomy Three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella. <br>     Size:18*13*10 inch(L*W*H), Capacity: 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; OTHER FEATURES: Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc <br>     Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Water Resistant; Pattern Name: Solid; Water Resistance Level: Water Resistant <br>    ",,Half_Moon
https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679392361&sprefix=ba%2Caps%2C283&sr=8-14,"        American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER       ","1,299",4.1 out of 5 stars,8 ratings,"    Care Instructions: Hand Wash Only     Well Organized compartment ,Security Back Pocket    ",,RetailEZ Pvt Ltd
